date,timestamp,Tank,CO2,pH,Salinity,Algae,Intensity_A,Intensity_B,Intensity_C,ref_A,ref_B,ref_C
2025-06-23 08:30:00,1750667400000,2,235.34,6.91,-25.15,1.91,93.9,38.3,50.75,98.55,41.02,51.63
2025-06-23 09:00:00,1750669200000,2,-162.2,6.6,437.61,0.96,88.56,41.84,51.14,98.55,41.02,51.63
2025-06-23 09:30:00,1750671000000,2,135.69,6.46,-357.09,-10.3,91.47,38.0,48.86,98.55,41.02,51.63
2025-06-23 10:00:00,1750672800000,2,-112.89,6.27,191.72,-7.07,94.87,38.37,51.39,98.55,41.02,51.63
2025-06-23 10:30:00,1750674600000,2,200.16,6.61,-45.78,-0.98,90.64,33.69,51.39,98.55,41.02,51.63
2025-06-23 11:00:00,1750676400000,2,-99.64,6.83,3.1,1.29,92.05,35.05,49.3,98.55,41.02,51.63
2025-06-23 11:30:00,1750678200000,2,76.29,6.43,20.77,12.52,91.13,38.6,52.62,98.55,41.02,51.63
2025-06-23 12:00:00,1750680000000,2,51.81,6.87,296.89,-4.45,93.34,38.35,50.33,98.55,41.02,51.63
2025-06-23 12:30:00,1750681800000,2,221.21,6.8,136.31,-0.96,94.5,35.78,53.14,98.55,41.02,51.63
2025-06-23 13:00:00,1750683600000,2,-34.54,6.73,-203.4,0.91,89.9,35.39,51.24,98.55,41.02,51.63
2025-06-23 13:30:00,1750685400000,2,81.95,6.66,199.87,2.34,93.41,36.11,52.15,98.55,41.02,51.63
2025-06-23 14:00:00,1750687200000,2,-8.22,6.35,546.68,4.21,90.32,41.61,49.11,98.55,41.02,51.63
2025-06-23 14:30:00,1750689000000,2,-52.27,6.55,274.32,-3.22,89.86,36.46,50.31,98.55,41.02,51.63
2025-06-23 15:00:00,1750690800000,2,136.54,6.86,-219.3,6.92,95.16,37.01,51.98,98.55,41.02,51.63
2025-06-23 15:30:00,1750692600000,2,95.34,6.45,200.06,1.35,90.59,37.17,51.74,98.55,41.02,51.63
2025-06-23 16:00:00,1750694400000,2,-26.42,6.54,97.07,-3.46,91.44,37.2,50.0,98.55,41.02,51.63
2025-06-23 16:30:00,1750696200000,2,-75.46,6.64,237.66,6.25,91.95,39.47,52.41,98.55,41.02,51.63
2025-06-23 17:00:00,1750698000000,2,58.38,6.31,-23.67,-7.93,94.81,35.27,52.54,98.55,41.02,51.63
2025-06-23 17:30:00,1750699800000,2,-84.47,6.53,468.91,-3.88,90.44,38.93,50.9,98.55,41.02,51.63
2025-06-23 18:00:00,1750701600000,2,-294.72,6.67,-183.16,-3.11,91.17,35.19,49.63,98.55,41.02,51.63
2025-06-23 18:30:00,1750703400000,2,99.59,6.59,341.16,2.85,89.73,42.53,51.69,98.55,41.02,51.63
