timestamp,Sunlight,Temperature
1750838400000,-132.7,32.4
1750840200000,-3.12,25.79
1750842000000,-103.77,28.09
1750843800000,-65.93,27.78
1750845600000,47.76,30.31
1750847400000,28.28,30.47
1750849200000,-29.7,28.88
1750851000000,-54.74,28.92
1750852800000,-109.48,30.55
1750854600000,-1.36,26.41
1750856400000,-168.46,26.81
1750858200000,-90.73,25.17
1750860000000,-161.3,31.46
1750861800000,-62.16,29.9
1750863600000,92.2,29.74
1750865400000,-82.62,33.64
1750867200000,-116.7,27.71
1750869000000,31.33,29.77
1750870800000,-80.28,33.05
1750872600000,-156.41,31.32
1750874400000,-103.7,34.46
1750876200000,-137.92,31.19
