timestamp,Tank,CO2,pH,Salinity,Algae,Intensity_A,Intensity_B,Intensity_C,ref_A,ref_B,ref_C
1751011200000,2,145.17,6.52,23.25,4.46,92.67,36.21,50.3,98.55,41.02,51.63
1751013000000,2,167.72,6.57,-241.33,4.87,90.62,38.49,52.35,98.55,41.02,51.63
1751014800000,2,-18.67,6.82,-177.84,-10.83,87.99,41.96,51.61,98.55,41.02,51.63
1751016600000,2,-0.62,6.41,20.76,3.93,94.66,38.45,50.31,98.55,41.02,51.63
1751018400000,2,169.65,6.51,-487.45,-3.41,90.58,41.23,50.35,98.55,41.02,51.63
1751020200000,2,138.6,6.61,605.14,3.17,90.81,36.49,52.27,98.55,41.02,51.63
1751022000000,2,101.56,6.95,111.66,-4.26,91.39,37.25,52.0,98.55,41.02,51.63
1751023800000,2,-22.9,6.19,-121.27,4.8,93.96,35.09,48.17,98.55,41.02,51.63
1751025600000,2,253.47,6.78,-133.45,-3.97,93.92,35.01,49.51,98.55,41.02,51.63
1751027400000,2,-66.05,6.92,287.29,-0.42,92.7,32.6,49.94,98.55,41.02,51.63
1751029200000,2,126.34,6.61,-50.3,0.51,91.31,38.36,50.34,98.55,41.02,51.63
1751031000000,2,60.53,6.64,255.0,0.64,95.07,38.57,52.4,98.55,41.02,51.63
1751032800000,2,123.54,6.48,52.81,-0.57,88.41,37.59,52.17,98.55,41.02,51.63
1751034600000,2,154.21,6.74,-87.08,1.91,92.51,35.76,50.53,98.55,41.02,51.63
1751036400000,2,116.48,6.64,306.89,-3.99,92.75,40.8,50.87,98.55,41.02,51.63
1751038200000,2,100.36,6.41,102.39,-0.6,90.92,35.73,52.47,98.55,41.02,51.63
1751040000000,2,-32.87,6.32,-460.38,2.43,92.98,41.63,50.7,98.55,41.02,51.63
1751041800000,2,-101.64,6.58,406.08,3.67,89.84,39.04,52.11,98.55,41.02,51.63
1751043600000,2,65.12,6.65,116.54,0.83,91.44,40.42,50.68,98.55,41.02,51.63
1751045400000,2,-124.49,6.69,111.03,-6.92,95.14,38.36,49.16,98.55,41.02,51.63
1751047200000,2,21.97,6.43,-154.96,0.48,90.42,36.99,51.55,98.55,41.02,51.63
1751049000000,2,159.39,6.65,362.75,-5.27,94.63,38.89,51.25,98.55,41.02,51.63
